old_url,new_url
/development/administration-operations,/archive/legacy-development/administration-operations
/development/building-logging-provider,/archive/legacy-development/building-logging-provider
/development/change-verbs,/archive/legacy-development/change-verbs
/development/changing-configuration-settings,/archive/legacy-development/changing-configuration-settings
/development/clue,/archive/legacy-development/clue
/development/commands,/archive/legacy-development/commands
/development/common-design-decisions,/archive/legacy-development/common-design-decisions
/development/content-extractors,/archive/legacy-development/content-extractors
/development/core-vocabularies,/archive/legacy-development/core-vocabularies
/development/data-part,/archive/legacy-development/data-part
/development/datastores,/archive/legacy-development/datastores
/development/deploying-search-provider,/archive/legacy-development/deploying-search-provider
/development/downloading-file-indexing-content,/archive/legacy-development/downloading-file-indexing-content
/development/dynamic-vocabularies,/archive/legacy-development/dynamic-vocabularies
/development/edge-types,/archive/legacy-development/edge-types
/development/entity,/archive/legacy-development/entity
/development/events,/archive/legacy-development/events
/development/external-search-providers,/archive/legacy-development/external-search-providers
/development/infrastructure-user-entity,/archive/legacy-development/infrastructure-user-entity
/development/modelling,/archive/legacy-development/modelling
/development/one-time-jobs,/archive/legacy-development/one-time-jobs
/development/organization-user-entity,/archive/legacy-development/organization-user-entity
/development/organization-vocabulary,/archive/legacy-development/organization-vocabulary
/development/person-entity-type,/archive/legacy-development/person-entity-type
/development/person-vocabulary,/archive/legacy-development/person-vocabulary
/development/recurring-time-jobs,/archive/legacy-development/recurring-time-jobs
/development/scheduled-time-jobs,/archive/legacy-development/scheduled-time-jobs
/development/switching-datastore-provider,/archive/legacy-development/switching-datastore-provider
/development/validate-server-health,/archive/legacy-development/validate-server-health
/development/vocabulary-groupings,/archive/legacy-development/vocabulary-groupings
/development/vocabulary-values,/archive/legacy-development/vocabulary-values
/engine-room,/operate/monitoring/engine-room
/engine-room/processing-pipeline,/operate/monitoring/processing-pipeline
/erp-migration,/solutions/use-cases/erp-migration
/get-cluedin,/get-started/get-cluedin
/getting-access,/get-started/getting-access
/getting-started,/get-started/quickstart
/getting-started/data-deduplication,/master/deduplication/tutorial-deduplicate-data
/getting-started/data-ingestion,/ingest/tutorial-ingest-data
/getting-started/data-streaming,/publish/streams/tutorial-stream-data
/getting-started/glossary,/govern/work-with-glossary
/getting-started/hierarchy-builder,/model/hierarchies/tutorial-create-hierarchies
/getting-started/manual-data-cleaning,/govern/cleaning/tutorial-clean-data
/getting-started/relations,/model/relationships/tutorial-add-relations
/getting-started/rule-builder,/govern/rules/tutorial-create-rules
/golden-records/delete-data-parts-from-golden-records,/master/golden-records/delete-data-parts-from-golden-records
/golden-records/delete-golden-records,/master/golden-records/delete-golden-records
/governance,/govern
/governance/access-control,/archive/unsupported-features/access-control
/governance/consent-management,/archive/unsupported-features/consent-management
/governance/data-breaches,/archive/unsupported-features/data-breaches
/governance/data-catalog,/archive/unsupported-features/data-catalog
/governance/data-glossary,/archive/unsupported-features/data-glossary
/governance/data-policies,/archive/unsupported-features/data-policies
/governance/data-privacy,/archive/unsupported-features/data-privacy
/governance/data-retention,/archive/unsupported-features/data-retention
/governance/mesh-api,/archive/unsupported-features/mesh-api
/governance/subject-access-request,/archive/unsupported-features/subject-access-request
/governance/tag-monitoring,/govern/tags/tag-monitoring
/householding,/solutions/use-cases/householding
